Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,1330167598.00,1320670391.00,1379888268.00,1531843575.00,1665363128.00,1722798883.00,1873452514.00,1920262570.00,1941094972.00,2021301676.00,2228279330.00,2331005587.00,2421474860.00,2623726257.00,2791960894.00,2498932961.00,2467703911.00,2584463687.00,
Afghanistan,AFG,1748886596.00,1831108971.00,1595555476.00,1733333264.00,2155555498.00,2366666616.00,2555555567.00,2953333418.00,3300000109.00,3697940410.00,3641723322.00,3478787909.00,,,,,,,,,,,,,,,,,,,,2461665938.00,4128820723.00,4583644246.00,5285465686.00,6275073572.00,7057598407.00,9843842455.00,10190529882.00,12486943506.00,15936800636.00,17930239400.00,20536542737.00
Angola,AGO,,,,,,,,,,,,,,,,6684491979.00,6684491979.00,6684491979.00,6684491979.00,10026737968.00,10026737968.00,12118610904.00,5684291719.00,5278182971.00,4059352153.00,5039552482.00,7526446606.00,7648377413.00,6445041825.00,6152922943.00,9129594819.00,8936063723.00,12497346670.00,14188949191.00,19640848729.00,28233712831.00,41789478661.00,60448921272.00,84178032716.00,75492384801.00,82470913121.00,104000000000.00,115000000000.00
Albania,ALB,,,,,,,,,,,,,,,1924242453.00,1965384586.00,2173750013.00,2156624900.00,2126000000.00,2335124988.00,2101624963.00,1139166646.00,709452583.90,1228071038.00,1985673798.00,2424499009.00,3314898292.00,2359903108.00,2707123772.00,3414760915.00,3632043908.00,4060758804.00,4435078648.00,5746945913.00,7314865176.00,8158548717.00,8992642349.00,10701011897.00,12881352688.00,12044212904.00,11926953259.00,12890867539.00,12319784787.00
Andorra,AND,78619206.09,89409820.36,113408231.90,150820102.80,186558696.30,220127246.40,227281024.60,254020153.30,308008897.60,411578334.20,446416105.80,388958731.30,375895956.40,327861832.90,330070689.30,346737964.80,482000594.00,611316399.40,721425939.20,795449332.40,1029048482.00,1106928583.00,1210013652.00,1007025755.00,1017549124.00,1178738991.00,1223945357.00,1180597273.00,1211932398.00,1239876305.00,1434429703.00,1496912752.00,1733116883.00,2398645598.00,2935659300.00,3255789081.00,3543256806.00,4016972351.00,4007353157.00,3660530703.00,3355695364.00,3442062830.00,3164615187.00
Arab World,ARB,31385499664.00,36426909888.00,43316056615.00,55018394946.00,105000000000.00,116000000000.00,145000000000.00,167000000000.00,184000000000.00,249000000000.00,338000000000.00,349000000000.00,324000000000.00,304000000000.00,308000000000.00,304000000000.00,289000000000.00,313000000000.00,308000000000.00,322000000000.00,447000000000.00,440000000000.00,471000000000.00,477000000000.00,488000000000.00,524000000000.00,578000000000.00,613000000000.00,592000000000.00,644000000000.00,735000000000.00,723000000000.00,729000000000.00,823000000000.00,964000000000.00,1180000000000.00,1400000000000.00,1640000000000.00,2080000000000.00,1800000000000.00,2110000000000.00,2500000000000.00,2740000000000.00
United Arab Emirates,ARE,,,,,,14720672507.00,19213022691.00,24871775165.00,23775831783.00,31225463218.00,43598748449.00,49333424135.00,46622718605.00,42803323345.00,41807954236.00,40603650232.00,33943612095.00,36384908744.00,36275674203.00,41464995914.00,50701443748.00,51552165622.00,54239171888.00,55625170253.00,59305093980.00,65743666576.00,73571233996.00,78839008445.00,75674336283.00,84445473111.00,104000000000.00,103000000000.00,110000000000.00,124000000000.00,148000000000.00,181000000000.00,222000000000.00,258000000000.00,315000000000.00,254000000000.00,290000000000.00,351000000000.00,375000000000.00
Argentina,ARG,31584210366.00,33293199095.00,34733000536.00,52544000117.00,72436777342.00,52438647922.00,51169499891.00,56781000101.00,58082870156.00,69252328953.00,76961923742.00,78676842366.00,84307486837.00,104000000000.00,79092001998.00,88416668900.00,111000000000.00,111000000000.00,126000000000.00,76636898036.00,141000000000.00,190000000000.00,229000000000.00,237000000000.00,257000000000.00,258000000000.00,272000000000.00,293000000000.00,299000000000.00,284000000000.00,284000000000.00,269000000000.00,97724004252.00,128000000000.00,165000000000.00,199000000000.00,233000000000.00,288000000000.00,362000000000.00,333000000000.00,424000000000.00,530000000000.00,546000000000.00
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,2256838858.00,2068526522.00,1272577456.00,1201313201.00,1315158670.00,1468317350.00,1596968913.00,1639492424.00,1893726437.00,1845482181.00,1911563665.00,2118467913.00,2376335048.00,2807061009.00,3576615240.00,4900469950.00,6384451606.00,9206301700.00,11662040714.00,8647936748.00,9260284938.00,10142111334.00,10619320049.00
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514000000.00,527000000.00,512000000.00,503000000.00,496000000.00,520000000.00,563000000.00,678000000.00,576000000.00,574000000.00,644000000.00
