Afghanistan,AFG,14300.00,14400.00,13000.00,13500.00,14900.00,14600.00,14700.00,15200.00,15100.00,14900.00,15700.00,15800.00,15600.00,15300.00,14300.00,13500.00,12300.00,12400.00,13000.00,12300.00,12500.00,12300.00,11400.00,11400.00,11300.00,11600.00,12500.00,13300.00,13800.00,14800.00,13500.00,12600.00,13800.00,14700.00,14700.00,14800.00,14800.00,15300.00,15300.00,15600.00,17800.00,18000.00,18200.00
Albania,ALB,6960.00,6950.00,7610.00,7350.00,7630.00,7870.00,8470.00,8950.00,10000.00,11200.00,11400.00,10500.00,10700.00,11600.00,12200.00,11800.00,12100.00,12200.00,12600.00,12600.00,11100.00,8270.00,6230.00,6070.00,6790.00,6420.00,6190.00,5500.00,5250.00,6490.00,8390.00,6820.00,7500.00,7830.00,7400.00,8310.00,8030.00,9880.00,8140.00,8110.00,8510.00,8710.00,8900.00
Algeria,DZA,34600.00,38900.00,53700.00,67600.00,59300.00,56000.00,68700.00,74900.00,82000.00,84400.00,83300.00,79900.00,83100.00,89100.00,92800.00,104000.00,108000.00,107000.00,108000.00,110000.00,106000.00,112000.00,122000.00,122000.00,119000.00,124000.00,124000.00,124000.00,127000.00,133000.00,134000.00,129000.00,131000.00,140000.00,140000.00,146000.00,152000.00,157000.00,160000.00,161000.00,168000.00,172000.00,176000.00
American Samoa,ASM,13.10,13.20,13.40,13.70,13.90,14.20,14.40,14.60,14.80,15.00,15.50,16.60,16.10,16.70,17.40,18.00,18.70,19.40,20.00,20.70,20.40,21.00,21.50,22.00,22.50,22.90,23.30,23.60,23.90,31.10,47.70,50.90,51.30,51.80,52.30,52.80,53.30,53.90,54.60,55.00,56.60,57.70,58.80
Angola,AGO,60600.00,39200.00,42200.00,44300.00,40200.00,44400.00,38400.00,43600.00,46200.00,56600.00,48000.00,41900.00,45200.00,44900.00,35900.00,36700.00,36000.00,46700.00,35700.00,39300.00,50800.00,43800.00,65000.00,39800.00,44700.00,48200.00,47100.00,33100.00,35300.00,36100.00,34800.00,34400.00,34500.00,35900.00,36900.00,35900.00,36400.00,36700.00,37400.00,38300.00,40000.00,40900.00,41700.00
Anguilla,AIA,8.73,8.49,8.25,8.13,7.68,6.49,6.02,5.79,5.64,5.43,5.26,5.12,4.99,4.86,4.73,4.61,4.45,4.33,4.16,3.96,3.76,3.62,3.49,3.13,3.08,3.08,3.09,3.08,3.06,3.05,3.11,3.13,3.28,3.16,3.16,3.17,3.18,3.18,3.19,3.20,3.20,3.24,3.27
Antigua and Barbuda,ATG,253.00,256.00,297.00,318.00,280.00,328.00,292.00,319.00,313.00,312.00,313.00,430.00,551.00,419.00,456.00,365.00,340.00,340.00,388.00,371.00,372.00,373.00,372.00,359.00,381.00,392.00,390.00,362.00,379.00,404.00,399.00,399.00,406.00,419.00,449.00,454.00,464.00,478.00,492.00,493.00,521.00,538.00,553.00
Argentina,ARG,222000.00,214000.00,224000.00,227000.00,229000.00,233000.00,247000.00,247000.00,248000.00,256000.00,254000.00,246000.00,244000.00,249000.00,243000.00,238000.00,251000.00,257000.00,266000.00,266000.00,267000.00,267000.00,272000.00,277000.00,271000.00,275000.00,288000.00,300000.00,312000.00,334000.00,331000.00,326000.00,311000.00,345000.00,370000.00,358000.00,374000.00,385000.00,412000.00,373000.00,365000.00,373000.00,380000.00
Armenia,ARM,6250.00,6380.00,6750.00,7370.00,7980.00,11600.00,11900.00,12400.00,12900.00,13500.00,14500.00,15100.00,15800.00,15900.00,16000.00,16300.00,16500.00,16500.00,17600.00,17500.00,24700.00,25400.00,14500.00,8360.00,6110.00,6710.00,5990.00,6720.00,6740.00,6390.00,6870.00,6900.00,6460.00,6970.00,7630.00,8400.00,8740.00,9320.00,12500.00,11200.00,11400.00,12400.00,12300.00
Aruba,ABW,42.30,42.80,43.30,43.70,44.10,44.50,132.00,135.00,359.00,410.00,425.00,519.00,564.00,530.00,571.00,642.00,436.00,617.00,600.00,636.00,643.00,652.00,690.00,713.00,729.00,732.00,210.00,973.00,190.00,176.00,273.00,268.00,281.00,280.00,281.00,287.00,308.00,344.00,366.00,366.00,388.00,401.00,413.00
Australia,AUS,319000.00,314000.00,355000.00,333000.00,356000.00,378000.00,408000.00,415000.00,378000.00,412000.00,434000.00,388000.00,429000.00,387000.00,398000.00,457000.00,435000.00,413000.00,435000.00,461000.00,482000.00,499000.00,487000.00,479000.00,522000.00,489000.00,509000.00,921000.00,921000.00,1190000.00,1080000.00,1240000.00,1120000.00,1020000.00,1140000.00,909000.00,1120000.00,1070000.00,893000.00,1110000.00,782000.00,786000.00,762000.00
Austria,AUT,68400.00,71100.00,73500.00,77400.00,75100.00,72700.00,78100.00,75700.00,77900.00,80600.00,78800.00,75500.00,73100.00,73200.00,75500.00,76900.00,75500.00,75200.00,75000.00,74500.00,79800.00,83300.00,79200.00,79400.00,79800.00,82500.00,85600.00,84700.00,85700.00,83900.00,82700.00,85900.00,87400.00,92700.00,96300.00,97600.00,95600.00,93300.00,94600.00,89000.00,94200.00,92300.00,90500.00
Azerbaijan,AZE,26300.00,26700.00,28200.00,30900.00,33600.00,41500.00,42800.00,44500.00,46300.00,48400.00,51100.00,55400.00,56900.00,58600.00,59800.00,61400.00,62700.00,63000.00,65200.00,64800.00,78100.00,79000.00,56100.00,52500.00,48500.00,42500.00,39000.00,37700.00,40000.00,40500.00,42600.00,41500.00,40300.00,44100.00,45000.00,47600.00,48500.00,45100.00,53800.00,49600.00,50700.00,54000.00,56500.00
Bahamas,BHS,3560.00,3660.00,4170.00,4540.00,3750.00,4460.00,3940.00,4290.00,4650.00,4450.00,4270.00,5980.00,5160.00,4570.00,4340.00,3440.00,3150.00,3170.00,3340.00,3550.00,3590.00,3470.00,3080.00,2960.00,3180.00,3530.00,3860.00,3540.00,3680.00,3580.00,3190.00,3150.00,3260.00,3560.00,3730.00,3850.00,4010.00,4130.00,4340.00,4340.00,4570.00,4730.00,4870.00
Bahrain,BHR,3810.00,3950.00,5900.00,6760.00,7860.00,7970.00,8570.00,9310.00,9740.00,10300.00,10500.00,11100.00,12000.00,12400.00,12800.00,14600.00,16300.00,16100.00,16300.00,16300.00,17100.00,14400.00,15200.00,15300.00,15200.00,15300.00,16000.00,16900.00,17900.00,18000.00,18200.00,19100.00,20000.00,20500.00,21500.00,23400.00,25100.00,26600.00,29200.00,29200.00,30900.00,31900.00,32800.00
Bangladesh,BGD,113000.00,108000.00,110000.00,111000.00,110000.00,115000.00,113000.00,115000.00,118000.00,121000.00,115000.00,116000.00,118000.00,113000.00,118000.00,119000.00,122000.00,120000.00,122000.00,126000.00,127000.00,127000.00,129000.00,129000.00,131000.00,137000.00,139000.00,140000.00,129000.00,138000.00,136000.00,143000.00,144000.00,146000.00,147000.00,151000.00,155000.00,161000.00,165000.00,170000.00,178000.00,180000.00,183000.00
Barbados,BRB,710.00,703.00,758.00,833.00,706.00,840.00,803.00,847.00,917.00,856.00,868.00,1110.00,1110.00,1280.00,1340.00,1310.00,1320.00,1310.00,1190.00,1200.00,1200.00,1240.00,1240.00,1130.00,1090.00,1100.00,1080.00,1120.00,1210.00,1310.00,1310.00,1230.00,1260.00,1240.00,1280.00,1310.00,1310.00,1360.00,1370.00,1370.00,1450.00,1500.00,1540.00
Belarus,BLR,137000.00,139000.00,144000.00,151000.00,156000.00,168000.00,171000.00,176000.00,179000.00,185000.00,188000.00,190000.00,188000.00,188000.00,185000.00,183000.00,182000.00,181000.00,186000.00,183000.00,185000.00,182000.00,170000.00,153000.00,140000.00,130000.00,131000.00,131000.00,87300.00,87500.00,83400.00,80800.00,89700.00,82000.00,85600.00,90000.00,94500.00,95700.00,101000.00,102000.00,108000.00,109000.00,110000.00
Belgium,BEL,160000.00,154000.00,166000.00,172000.00,173000.00,153000.00,163000.00,162000.00,167000.00,176000.00,165000.00,154000.00,145000.00,136000.00,140000.00,138000.00,138000.00,137000.00,138000.00,138000.00,138000.00,143000.00,141000.00,139000.00,144000.00,147000.00,153000.00,150000.00,152000.00,147000.00,147000.00,145000.00,138000.00,144000.00,141000.00,137000.00,135000.00,132000.00,137000.00,131000.00,138000.00,138000.00,133000.00
Belize,BLZ,313.00,324.00,365.00,395.00,391.00,424.00,391.00,431.00,424.00,453.00,441.00,531.00,558.00,579.00,603.00,527.00,572.00,592.00,476.00,535.00,633.00,690.00,633.00,608.00,593.00,603.00,574.00,663.00,923.00,1140.00,1680.00,1010.00,1700.00,3600.00,1150.00,2020.00,1280.00,1800.00,1410.00,1530.00,1500.00,1540.00,1570.00
